Task Name,Task Description,Folder Name,List Name,Status,Priority,Start Date,Due Date,Tags,Time Estimate,Task ID,Recurso,Release,Depends On,Complejidad,Riesgo,Stream,Ambiente,Sprint,Mes Calendario,Carga Mes Porcentaje,Tipo Metodologia,Secuencia Import
Optimizar velocidad de carga de la plataforma web,"Hacer que la plataforma cargue rapidamente: dividir el codigo en partes que se cargan solo cuando se necesitan (el editor se carga al abrir un informe, el mapa solo al ver el dashboard), comprimir archivos, precargar pantallas principales. La plataforma debe mostrar contenido en menos de 1.5 segundos.",Etapa 1 - Plataforma Reportabilidad,MES3_AGOSTO_UX_Sensores,Backlog,High,2026-08-03,2026-08-31,"EXPERIENCIA_USUARIO,DATOS",25,FE1-O01,FRONTEND 1 — Interfaces (mes 1 al 6),R3,,Alta,Medio,Frontend,Desarrollo,S5-S7,Agosto,99.7,Agile — Desarrollo por Sprint,101
Convertir la plataforma en aplicacion instalable para uso en campo (modo sin conexion),Transformar la plataforma web para que funcione como una aplicacion que se puede instalar en tablets y computadoras. El usuario puede crear y consultar informes sin conexion a internet (en zonas de la mina sin senal). Los datos se guardan localmente y se sincronizan cuando vuelve la conexion.,Etapa 1 - Plataforma Reportabilidad,MES3_AGOSTO_UX_Sensores,Backlog,High,2026-07-27,2026-07-31,"EXPERIENCIA_USUARIO,SIN_CONEXION",25,FE1-O02,FRONTEND 1 — Interfaces (mes 1 al 6),R3,,Alta,Alto,Frontend,Desarrollo,S5,Agosto,95.9,Agile — Desarrollo por Sprint,102
Monitoreo de errores frontend (Sentry integration),"Integración de Sentry en React: captura automática de errores JS, source maps para debugging, contexto de usuario/ruta/dispositivo. Dashboard de errores. Alertas por nuevos errores en producción.",Etapa 1 - Plataforma Reportabilidad,MES4_SEPTIEMBRE_Integracion_QA,Backlog,High,2026-08-24,2026-09-30,"EXPERIENCIA_USUARIO,INFRAESTRUCTURA",16,FE1-O03,FRONTEND 1 — Interfaces (mes 1 al 6),R4,,Media,Medio,Frontend,Desarrollo,S7-S9,Septiembre,99.7,Agile — Desarrollo por Sprint,103
Documentación de componentes React (Storybook),"Catálogo visual de todos los componentes React de la plataforma: botones, inputs, tablas, cards, modales, etc. Cada componente con variantes, estados y código de ejemplo. Referencia para todo el equipo frontend.",Etapa 1 - Plataforma Reportabilidad,MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-09-01,2026-09-30,"DOCUMENTACION,EXPERIENCIA_USUARIO",33,FE1-O04,"FRONTEND 1 — Interfaces (mes 1 al 6), Soporte PMO — Analista Funcional y Documentador",R4,,Media,Bajo,Frontend,Desarrollo,S7-S9,Septiembre,100,Agile — Desarrollo por Sprint,104
Optimización de state management (Redux/Zustand),"Refactoring del manejo de estado: normalización de store, selectores memoizados, eliminación de re-renders innecesarios. Reducir renders del editor en >50%. Profiling con React DevTools.",Etapa 1 - Plataforma Reportabilidad,MES4_SEPTIEMBRE_Integracion_QA,Backlog,High,2026-08-24,2026-09-30,"DATOS,EXPERIENCIA_USUARIO",20,FE1-O05,FRONTEND 1 — Interfaces (mes 1 al 6),R4,,Alta,Medio,Frontend,Desarrollo,S7-S9,Septiembre,99.7,Agile — Desarrollo por Sprint,105
Pantalla de historial de actividades y audit trail visual,"Vista de timeline de actividades del usuario y del sistema: quién editó qué informe, cuándo se aprobó, quién exportó. Filtros por usuario, tipo de acción, rango de fechas. Integración con audit log backend.",Etapa 1 - Plataforma Reportabilidad,MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-08-24,2026-08-31,"EXPERIENCIA_USUARIO,SEGURIDAD,GERENCIA",16,FE1-O08,FRONTEND 1 — Interfaces (mes 1 al 6),R4,,Media,Bajo,Frontend,Desarrollo,S7,Septiembre,99.7,Agile — Desarrollo por Sprint,106
Internacionalización del frontend (i18n framework setup),"Setup del framework de internacionalización: react-intl o i18next, extracción de strings, estructura de archivos de traducción, pluralización, formatos de fecha/número. Base para la traducción de FE2.",Etapa 1 - Plataforma Reportabilidad,MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-09-01,2026-09-30,"EXPERIENCIA_USUARIO,INTEGRACION",29,FE1-O09,"FRONTEND 1 — Interfaces (mes 1 al 6), FRONTEND 2 — UX y Soporte (desde mes 2)",R4,,Alta,Medio,Frontend,Desarrollo,S7-S9,Septiembre,100,Agile — Desarrollo por Sprint,107
Testing de compatibilidad cross-browser completo,"Pruebas exhaustivas en todos los navegadores target: Chrome 120+, Firefox 115+, Edge 120+, Safari 17+. Verificar editor, GIS, exportaciones, WebSocket. Fix de incompatibilidades detectadas.",Etapa 1 - Plataforma Reportabilidad,MES5_OCTUBRE_Optimizacion,Backlog,High,2026-09-21,2026-11-16,"PRUEBAS_CALIDAD,EXPERIENCIA_USUARIO",29,FE1-O10,"FRONTEND 1 — Interfaces (mes 1 al 6), QA-Calidad (desde mes 2)",R5,,Alta,Medio,Frontend,Desarrollo,S9-S13,Octubre,100,Agile — Desarrollo por Sprint,108
Optimización de carga del editor para informes grandes (100+ páginas),"Performance tuning del editor TipTap para documentos largos: virtualización de nodos, debounce de operaciones, lazy rendering de páginas no visibles. Target: editor fluido con informes de 100+ páginas.",Etapa 1 - Plataforma Reportabilidad,MES5_OCTUBRE_Optimizacion,Backlog,High,2026-11-02,2026-11-16,"EDITOR_INFORMES,DATOS",16,FE1-O11,FRONTEND 1 — Interfaces (mes 1 al 6),R5,,Alta,Alto,Frontend,Desarrollo,S12-S13,Octubre,93.2,Agile — Desarrollo por Sprint,109
Correcciones de UX basadas en feedback de marcha blanca,"Sprint dedicado a corregir problemas de usabilidad detectados durante la marcha blanca: ajustes de layout, mejoras en flujos confusos, correcciones de texto, mejoras de rendimiento perceptual.",Etapa 1 - Plataforma Reportabilidad,MES6_NOVIEMBRE_GoLive,Backlog,Urgent,2026-11-02,2026-11-30,"EXPERIENCIA_USUARIO,PRODUCCION,SOPORTE",20,FE1-O12,FRONTEND 1 — Interfaces (mes 1 al 6),R6,,Media,Alto,Frontend,Desarrollo,S12-S13,Noviembre,93.2,Agile — Desarrollo por Sprint,110
Investigación UX inicial: entrevistas con usuarios de mina,"Sesiones de investigación con ingenieros de mina, supervisores y operadores para entender cómo trabajan hoy, qué problemas tienen con los sistemas actuales, qué necesitan para su trabajo diario. Documentación de user personas y journey maps.",Etapa 1 - Plataforma Reportabilidad,MES1_JUNIO_Analisis_Arquitectura,Backlog,High,2026-06-01,2026-06-30,"EXPERIENCIA_USUARIO,SOPORTE,DOCUMENTACION",29,FE2-U01,"FRONTEND 1 — Interfaces (mes 1 al 6), Soporte PMO — Analista Funcional y Documentador",R1,,Media,Medio,Frontend,Desarrollo,S1-S3,Junio,90.9,Agile — Desarrollo por Sprint,111
Investigación UX continua: sesiones de usabilidad quincenal,"Sesiones de usabilidad con usuarios reales cada 2 semanas durante el desarrollo. Pruebas de prototipos, validación de flujos, detección de problemas de usabilidad. Reporte con hallazgos y recomendaciones priorizadas.",Etapa 1 - Plataforma Reportabilidad,MES3_AGOSTO_UX_Sensores,Backlog,High,2026-07-27,2026-08-31,"EXPERIENCIA_USUARIO,SOPORTE",61,FE2-U02,"FRONTEND 2 — UX y Soporte (desde mes 2), FRONTEND 1 — Interfaces (mes 1 al 6), QA-Calidad (desde mes 2)",R2,FE2-U01,Media,Medio,Frontend,Desarrollo,S5-S7,Agosto,98.8,Agile — Desarrollo por Sprint,112
"Soporte multi-idioma de la plataforma (espanol, ingles, portugues)","Preparar la plataforma para funcionar en 3 idiomas: espanol, ingles y portugues. El usuario puede cambiar el idioma en cualquier momento y toda la interfaz se traduce: menus, botones, mensajes, formatos de fecha y numeros. Necesario para operaciones mineras en varios paises de Latinoamerica.",Etapa 1 - Plataforma Reportabilidad,MES3_AGOSTO_UX_Sensores,Backlog,Normal,2026-08-03,2026-08-31,"EXPERIENCIA_USUARIO,INTEGRACION",33,FE2-U05,"FRONTEND 2 — UX y Soporte (desde mes 2), FRONTEND 1 — Interfaces (mes 1 al 6)",R3,,Alta,Medio,Frontend,Desarrollo,S5-S7,Agosto,90.8,Agile — Desarrollo por Sprint,113
Diseño de templates de email para notificaciones del sistema,"Diseño de plantillas HTML responsive para emails transaccionales: aprobación de informe, alerta de sensor, recordatorio de revisión, bienvenida. Branding corporativo minero, compatibilidad con Outlook/Gmail.",Etapa 1 - Plataforma Reportabilidad,MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-08-24,2026-09-30,"EXPERIENCIA_USUARIO,NOTIFICACIONES",24,FE2-U06,FRONTEND 2 — UX y Soporte (desde mes 2),R4,,Media,Bajo,Frontend,Desarrollo,S7-S9,Septiembre,90.8,Agile — Desarrollo por Sprint,114
Guia interactiva de bienvenida para nuevos usuarios de la plataforma,"Cuando un usuario entra por primera vez a la plataforma, se muestra un tour guiado paso a paso: como configurar su perfil, como crear su primer informe, como usar el editor, como aprobar documentos. El objetivo es que el usuario pueda empezar a trabajar sin necesidad de capacitacion externa.",Etapa 1 - Plataforma Reportabilidad,MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-09-01,2026-09-30,"EXPERIENCIA_USUARIO,SOPORTE",24,FE2-U08,FRONTEND 2 — UX y Soporte (desde mes 2),R4,,Media,Bajo,Frontend,Desarrollo,S7-S9,Septiembre,90,Agile — Desarrollo por Sprint,115
"Sistema de ayuda contextual (tooltips, guías, FAQ)","Implementación de ayuda contextual en cada módulo: tooltips en iconos/botones, guías paso a paso para flujos complejos (aprobación, exportación, firma), sección de FAQ. Reducir tickets de soporte.",Etapa 1 - Plataforma Reportabilidad,MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-08-24,2026-08-31,"EXPERIENCIA_USUARIO,SOPORTE",32,FE2-U09,FRONTEND 2 — UX y Soporte (desde mes 2),R4,,Media,Bajo,Frontend,Desarrollo,S7,Septiembre,90.8,Agile — Desarrollo por Sprint,116
"Diseño del módulo de administración (usuarios, roles, config)","Pantallas administrativas para el administrador del sistema: gestión de usuarios, asignación de roles, configuración de tenant, logs de auditoría visual, configuración de notificaciones, parámetros del sistema.",Etapa 1 - Plataforma Reportabilidad,MES4_SEPTIEMBRE_Integracion_QA,Backlog,High,2026-08-24,2026-09-30,"EXPERIENCIA_USUARIO,SEGURIDAD,GERENCIA",32,FE2-U10,"FRONTEND 2 — UX y Soporte (desde mes 2), FRONTEND 1 — Interfaces (mes 1 al 6), Soporte PMO — Analista Funcional y Documentador",R4,,Alta,Medio,Frontend,Desarrollo,S7-S9,Septiembre,90.8,Agile — Desarrollo por Sprint,117
"Módulo de administración: usuarios, roles, configuración","Implementación funcional del módulo admin: CRUD usuarios, asignación de roles RBAC, configuración por tenant, visualización de audit logs, parámetros del sistema. Solo accesible a rol Administrador.",Etapa 1 - Plataforma Reportabilidad,MES4_SEPTIEMBRE_Integracion_QA,Backlog,High,2026-08-24,2026-09-30,"EXPERIENCIA_USUARIO,SEGURIDAD,GERENCIA",33,FE1-O07,"FRONTEND 1 — Interfaces (mes 1 al 6), Soporte PMO — Analista Funcional y Documentador",R4,FE2-U10,Alta,Medio,Frontend,Desarrollo,S7-S9,Septiembre,99.7,Agile — Desarrollo por Sprint,118
Auditoría de accesibilidad WCAG completa y correcciones,"Auditoría exhaustiva de accesibilidad en toda la plataforma: contraste, navegación por teclado, ARIA labels, formularios, tablas de datos. Corrección de todos los hallazgos nivel AA.",Etapa 1 - Plataforma Reportabilidad,MES5_OCTUBRE_Optimizacion,Backlog,High,2026-10-01,2026-11-16,"EXPERIENCIA_USUARIO,SEGURIDAD,PRUEBAS_CALIDAD",40,FE2-U12,"FRONTEND 2 — UX y Soporte (desde mes 2), QA-Calidad (desde mes 2), FRONTEND 1 — Interfaces (mes 1 al 6)",R5,,Alta,Medio,Frontend,Desarrollo,S9-S13,Octubre,90,Agile — Desarrollo por Sprint,119
Pruebas de usabilidad en entorno minero real (in-situ),"Visita a la unidad minera para pruebas de usabilidad in-situ: usar la plataforma en condiciones reales (polvo, luz solar, guantes, ruido). Documentar problemas específicos del entorno y ajustar la UX.",Etapa 1 - Plataforma Reportabilidad,MES5_OCTUBRE_Optimizacion,Backlog,High,2026-11-02,2026-11-16,"EXPERIENCIA_USUARIO,SOPORTE",32,FE2-U13,"FRONTEND 2 — UX y Soporte (desde mes 2), ARQ-Arquitecto TI / PMO",R5,,Media,Alto,Frontend,Desarrollo,S12-S13,Octubre,90,Agile — Desarrollo por Sprint,120
Material de capacitación para usuarios finales,"Creación de material de entrenamiento: video-tutoriales (5-10 min cada uno), guía rápida imprimible (2 páginas), manual de usuario completo, guía de troubleshooting. Para supervisores, ingenieros y gerentes.",Etapa 1 - Plataforma Reportabilidad,MES6_NOVIEMBRE_GoLive,Backlog,High,2026-11-02,2026-11-30,"SOPORTE,DOCUMENTACION",48,FE2-U14,"FRONTEND 2 — UX y Soporte (desde mes 2), QA-Calidad (desde mes 2), Soporte PMO — Analista Funcional y Documentador",R6,,Media,Medio,Frontend,Desarrollo,S12-S13,Noviembre,90,Agile — Desarrollo por Sprint,121
Soporte a usuarios durante marcha blanca y GoLive,"Soporte dedicado on-site y remoto durante la marcha blanca: resolver dudas de usuarios, registrar issues, priorizar bugs de UX, ajustes rápidos de interfaz basados en feedback directo.",Etapa 1 - Plataforma Reportabilidad,MES6_NOVIEMBRE_GoLive,Backlog,Urgent,2026-11-02,2026-11-30,"SOPORTE,PRODUCCION",48,FE2-U15,"FRONTEND 2 — UX y Soporte (desde mes 2), FRONTEND 1 — Interfaces (mes 1 al 6)",R6,,Media,Alto,Frontend,Desarrollo,S12-S13,Noviembre,90,Agile — Desarrollo por Sprint,122
Documentación de guías de usuario visuales (screenshots),"Manual de usuario visual con capturas de pantalla anotadas de cada flujo: cómo crear un informe, cómo aprobar, cómo exportar, cómo usar el mapa, cómo configurar alertas. Formato PDF y ayuda online.",Etapa 1 - Plataforma Reportabilidad,MES6_NOVIEMBRE_GoLive,Backlog,High,2026-11-02,2026-11-30,"DOCUMENTACION,SOPORTE",40,FE2-U16,"FRONTEND 2 — UX y Soporte (desde mes 2), Soporte PMO — Analista Funcional y Documentador, FRONTEND 1 — Interfaces (mes 1 al 6)",R6,,Media,Bajo,Frontend,Desarrollo,S12-S13,Noviembre,90,Agile — Desarrollo por Sprint,123
Encuestas NPS y optimización UX post-lanzamiento,"Encuestas de satisfacción a usuarios clave tras GoLive (NPS, SUS), análisis de fricciones reportadas en marcha blanca, ajustes UX de prioridad alta en pantallas críticas y reporte de mejoras para backlog post-proyecto.",Etapa 1 - Plataforma Reportabilidad,MES6_NOVIEMBRE_GoLive,Backlog,High,2026-11-30,2026-11-30,"EXPERIENCIA_USUARIO,SOPORTE,PRODUCCION",32,FE2-U17,FRONTEND 2 — UX y Soporte (desde mes 2),R6,FE2-U15,Media,Medio,Frontend,Desarrollo,S13,Noviembre,90,Agile — Desarrollo por Sprint,124
Gobierno arquitectonico y alineamiento tecnico transversal — Julio,"Actividad transversal planificada para mantener carga mensual >= 90% en Julio 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES2_JULIO_Core_Seguridad,Backlog,Normal,2026-07-01,2026-07-31,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",36,FLOOR-ARQ-M07-01,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S3-S5,Julio,91.4,Agile — Desarrollo por Sprint,125
Gobierno arquitectonico y alineamiento tecnico transversal — Julio,"Actividad transversal planificada para mantener carga mensual >= 90% en Julio 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES2_JULIO_Core_Seguridad,Backlog,Normal,2026-07-01,2026-07-31,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",36,FLOOR-ARQ-M07-02,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S3-S5,Julio,91.4,Agile — Desarrollo por Sprint,126
Gobierno arquitectonico y alineamiento tecnico transversal — Julio,"Actividad transversal planificada para mantener carga mensual >= 90% en Julio 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES2_JULIO_Core_Seguridad,Backlog,Normal,2026-07-01,2026-07-31,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",17,FLOOR-ARQ-M07-03,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S3-S5,Julio,91.4,Agile — Desarrollo por Sprint,127
Gobierno arquitectonico y alineamiento tecnico transversal — Julio,"Actividad transversal planificada para mantener carga mensual >= 90% en Julio 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES2_JULIO_Core_Seguridad,Backlog,Normal,2026-07-01,2026-07-31,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",7,FLOOR-ARQ-M07-04,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S3-S5,Julio,91.4,Agile — Desarrollo por Sprint,128
Gobierno arquitectonico y alineamiento tecnico transversal — Agosto,"Actividad transversal planificada para mantener carga mensual >= 90% en Agosto 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES3_AGOSTO_UX_Sensores,Backlog,Normal,2026-08-03,2026-08-31,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",30,FLOOR-ARQ-M08-01,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S5-S7,Agosto,94.1,Agile — Desarrollo por Sprint,129
Gobierno arquitectonico y alineamiento tecnico transversal — Agosto,"Actividad transversal planificada para mantener carga mensual >= 90% en Agosto 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES3_AGOSTO_UX_Sensores,Backlog,Normal,2026-08-03,2026-08-31,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",25,FLOOR-ARQ-M08-02,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S5-S7,Agosto,94.1,Agile — Desarrollo por Sprint,130
Gobierno arquitectonico y alineamiento tecnico transversal — Agosto,"Actividad transversal planificada para mantener carga mensual >= 90% en Agosto 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES3_AGOSTO_UX_Sensores,Backlog,Normal,2026-08-03,2026-08-31,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",9,FLOOR-ARQ-M08-03,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S5-S7,Agosto,94.1,Agile — Desarrollo por Sprint,131
Gobierno arquitectonico y alineamiento tecnico transversal — Agosto,"Actividad transversal planificada para mantener carga mensual >= 90% en Agosto 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES3_AGOSTO_UX_Sensores,Backlog,Normal,2026-08-03,2026-08-31,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",7,FLOOR-ARQ-M08-04,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S5-S7,Agosto,94.1,Agile — Desarrollo por Sprint,132
Gobierno arquitectonico y alineamiento tecnico transversal — Septiembre,"Actividad transversal planificada para mantener carga mensual >= 90% en Septiembre 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-09-01,2026-09-30,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",5,FLOOR-ARQ-M09-01,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S7-S9,Septiembre,94.3,Agile — Desarrollo por Sprint,133
Gobierno arquitectonico y alineamiento tecnico transversal — Septiembre,"Actividad transversal planificada para mantener carga mensual >= 90% en Septiembre 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-09-01,2026-09-30,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",2,FLOOR-ARQ-M09-02,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S7-S9,Septiembre,94.3,Agile — Desarrollo por Sprint,134
Gobierno arquitectonico y alineamiento tecnico transversal — Octubre,"Actividad transversal planificada para mantener carga mensual >= 90% en Octubre 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES5_OCTUBRE_Optimizacion,Backlog,Normal,2026-10-01,2026-11-02,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",2,FLOOR-ARQ-M10-01,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S9-S12,Octubre,94.5,Agile — Desarrollo por Sprint,135
Gobierno arquitectonico y alineamiento tecnico transversal — Noviembre,"Actividad transversal planificada para mantener carga mensual >= 90% en Noviembre 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES6_NOVIEMBRE_GoLive,Backlog,Normal,2026-11-02,2026-11-30,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",19,FLOOR-ARQ-M11-01,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S12-S13,Noviembre,90,Agile — Desarrollo por Sprint,136
Gobierno arquitectonico y alineamiento tecnico transversal — Noviembre,"Actividad transversal planificada para mantener carga mensual >= 90% en Noviembre 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES6_NOVIEMBRE_GoLive,Backlog,Normal,2026-11-02,2026-11-30,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",16,FLOOR-ARQ-M11-02,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S12-S13,Noviembre,90,Agile — Desarrollo por Sprint,137
Gobierno arquitectonico y alineamiento tecnico transversal — Noviembre,"Actividad transversal planificada para mantener carga mensual >= 90% en Noviembre 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES6_NOVIEMBRE_GoLive,Backlog,Normal,2026-11-02,2026-11-30,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",7,FLOOR-ARQ-M11-03,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S12-S13,Noviembre,90,Agile — Desarrollo por Sprint,138
Refuerzo core backend y datos transversal — Septiembre,"Actividad transversal planificada para mantener carga mensual >= 90% en Septiembre 2026 (BACKEND 1 — DBA / Arq. Datos y Core). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-09-01,2026-09-30,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",3,FLOOR-BE1-M09-01,BACKEND 1 — DBA / Arq. Datos y Core,R1,,Baja,Bajo,Backend Core,Desarrollo,S7-S9,Septiembre,90,Agile — Desarrollo por Sprint,139
Revision continua OWASP y hardening de seguridad — Junio,"Actividad transversal planificada para mantener carga mensual >= 90% en Junio 2026 (BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP)). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES1_JUNIO_Analisis_Arquitectura,Backlog,Normal,2026-06-01,2026-06-30,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",16,FLOOR-BE2-M06-01,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R1,,Baja,Bajo,Ciberseguridad Backend,Desarrollo,S1-S3,Junio,90.1,Agile — Desarrollo por Sprint,140
Revision continua OWASP y hardening de seguridad — Junio,"Actividad transversal planificada para mantener carga mensual >= 90% en Junio 2026 (BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP)). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES1_JUNIO_Analisis_Arquitectura,Backlog,Normal,2026-06-01,2026-06-30,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",13,FLOOR-BE2-M06-02,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R1,,Baja,Bajo,Ciberseguridad Backend,Desarrollo,S1-S3,Junio,90.1,Agile — Desarrollo por Sprint,141
Revision continua OWASP y hardening de seguridad — Junio,"Actividad transversal planificada para mantener carga mensual >= 90% en Junio 2026 (BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP)). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES1_JUNIO_Analisis_Arquitectura,Backlog,Normal,2026-06-01,2026-06-30,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",5,FLOOR-BE2-M06-03,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R1,,Baja,Bajo,Ciberseguridad Backend,Desarrollo,S1-S3,Junio,90.1,Agile — Desarrollo por Sprint,142
Revision continua OWASP y hardening de seguridad — Junio,"Actividad transversal planificada para mantener carga mensual >= 90% en Junio 2026 (BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP)). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES1_JUNIO_Analisis_Arquitectura,Backlog,Normal,2026-06-01,2026-06-30,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",7,FLOOR-BE2-M06-04,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R1,,Baja,Bajo,Ciberseguridad Backend,Desarrollo,S1-S3,Junio,90.1,Agile — Desarrollo por Sprint,143
Revision continua OWASP y hardening de seguridad — Junio,"Actividad transversal planificada para mantener carga mensual >= 90% en Junio 2026 (BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP)). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",Etapa 1 - Plataforma Reportabilidad,MES1_JUNIO_Analisis_Arquitectura,Backlog,Normal,2026-06-01,2026-06-30,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",13,FLOOR-BE2-M06-05,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R1,,Baja,Bajo,Ciberseguridad Backend,Desarrollo,S1-S3,Junio,90.1,Agile — Desarrollo por Sprint,144
