Task Name,Task Description,List Name,Status,Priority,Start Date,Due Date,Tags,Time Estimate,Task ID,Recurso,Release,Depends On,Complejidad,Riesgo,Stream,Ambiente,Sprint,Mes Calendario,Carga Mes Porcentaje,Tipo Metodologia
QA-Calidad (desde mes 2) — Carga Julio 2026 (94.3%),"PANEL DE CAPACIDAD MENSUAL
Recurso: QA-Calidad (desde mes 2)
Mes: Julio 2026
Horas planificadas: 160.3h de 170.0h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 94.3% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a QA-Calidad (desde mes 2) en Julio.",Capacidad_Recursos,Backlog,Normal,2026-07-01,2026-07-31,"GESTION_PROYECTO,CAPACIDAD",160,CAP-QA-M07,QA-Calidad (desde mes 2),R1,,Baja,Bajo,Calidad,Desarrollo,S3-S5,Julio,94.3,PMO — Capacidad
QA-Calidad (desde mes 2) — Carga Agosto 2026 (92.1%),"PANEL DE CAPACIDAD MENSUAL
Recurso: QA-Calidad (desde mes 2)
Mes: Agosto 2026
Horas planificadas: 156.5h de 170.0h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 92.1% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a QA-Calidad (desde mes 2) en Agosto.",Capacidad_Recursos,Backlog,Normal,2026-08-03,2026-08-31,"GESTION_PROYECTO,CAPACIDAD",156,CAP-QA-M08,QA-Calidad (desde mes 2),R1,,Baja,Bajo,Calidad,Desarrollo,S5-S7,Agosto,92.1,PMO — Capacidad
QA-Calidad (desde mes 2) — Carga Septiembre 2026 (91.4%),"PANEL DE CAPACIDAD MENSUAL
Recurso: QA-Calidad (desde mes 2)
Mes: Septiembre 2026
Horas planificadas: 170.9h de 187.0h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 91.4% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a QA-Calidad (desde mes 2) en Septiembre.",Capacidad_Recursos,Backlog,Normal,2026-09-01,2026-09-30,"GESTION_PROYECTO,CAPACIDAD",170,CAP-QA-M09,QA-Calidad (desde mes 2),R1,,Baja,Bajo,Calidad,Desarrollo,S7-S9,Septiembre,91.4,PMO — Capacidad
QA-Calidad (desde mes 2) — Carga Octubre 2026 (100.0%),"PANEL DE CAPACIDAD MENSUAL
Recurso: QA-Calidad (desde mes 2)
Mes: Octubre 2026
Horas planificadas: 178.5h de 178.5h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 100.0% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a QA-Calidad (desde mes 2) en Octubre.",Capacidad_Recursos,Backlog,Normal,2026-10-01,2026-11-02,"GESTION_PROYECTO,CAPACIDAD",178,CAP-QA-M10,QA-Calidad (desde mes 2),R1,,Baja,Bajo,Calidad,Desarrollo,S9-S12,Octubre,100.0,PMO — Capacidad
QA-Calidad (desde mes 2) — Carga Noviembre 2026 (99.9%),"PANEL DE CAPACIDAD MENSUAL
Recurso: QA-Calidad (desde mes 2)
Mes: Noviembre 2026
Horas planificadas: 178.3h de 178.5h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 99.9% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a QA-Calidad (desde mes 2) en Noviembre.",Capacidad_Recursos,Backlog,Normal,2026-11-02,2026-11-30,"GESTION_PROYECTO,CAPACIDAD",178,CAP-QA-M11,QA-Calidad (desde mes 2),R1,,Baja,Bajo,Calidad,Desarrollo,S12-S13,Noviembre,99.9,PMO — Capacidad
SYS-Infraestructura — Carga Junio 2026 (0.0%),"PANEL DE CAPACIDAD MENSUAL
Recurso: SYS-Infraestructura
Mes: Junio 2026
Horas planificadas: 0.0h de 178.5h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 0.0% — Estado: BAJO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a SYS-Infraestructura en Junio.",Capacidad_Recursos,Backlog,Normal,2026-06-01,2026-06-30,"GESTION_PROYECTO,CAPACIDAD",1,CAP-SYS-M06,SYS-Infraestructura,R1,,Baja,Bajo,Infraestructura,Desarrollo,S1-S3,Junio,0.0,PMO — Capacidad
SYS-Infraestructura — Carga Julio 2026 (92.1%),"PANEL DE CAPACIDAD MENSUAL
Recurso: SYS-Infraestructura
Mes: Julio 2026
Horas planificadas: 156.5h de 170.0h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 92.1% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a SYS-Infraestructura en Julio.",Capacidad_Recursos,Backlog,Normal,2026-07-01,2026-07-31,"GESTION_PROYECTO,CAPACIDAD",156,CAP-SYS-M07,SYS-Infraestructura,R1,,Baja,Bajo,Infraestructura,Desarrollo,S3-S5,Julio,92.1,PMO — Capacidad
SYS-Infraestructura — Carga Agosto 2026 (90.0%),"PANEL DE CAPACIDAD MENSUAL
Recurso: SYS-Infraestructura
Mes: Agosto 2026
Horas planificadas: 153.0h de 170.0h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 90.0% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a SYS-Infraestructura en Agosto.",Capacidad_Recursos,Backlog,Normal,2026-08-03,2026-08-31,"GESTION_PROYECTO,CAPACIDAD",153,CAP-SYS-M08,SYS-Infraestructura,R1,,Baja,Bajo,Infraestructura,Desarrollo,S5-S7,Agosto,90.0,PMO — Capacidad
SYS-Infraestructura — Carga Septiembre 2026 (100.0%),"PANEL DE CAPACIDAD MENSUAL
Recurso: SYS-Infraestructura
Mes: Septiembre 2026
Horas planificadas: 187.0h de 187.0h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 100.0% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a SYS-Infraestructura en Septiembre.",Capacidad_Recursos,Backlog,Normal,2026-09-01,2026-09-30,"GESTION_PROYECTO,CAPACIDAD",187,CAP-SYS-M09,SYS-Infraestructura,R1,,Baja,Bajo,Infraestructura,Desarrollo,S7-S9,Septiembre,100.0,PMO — Capacidad
SYS-Infraestructura — Carga Octubre 2026 (99.6%),"PANEL DE CAPACIDAD MENSUAL
Recurso: SYS-Infraestructura
Mes: Octubre 2026
Horas planificadas: 177.8h de 178.5h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 99.6% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a SYS-Infraestructura en Octubre.",Capacidad_Recursos,Backlog,Normal,2026-10-01,2026-11-02,"GESTION_PROYECTO,CAPACIDAD",177,CAP-SYS-M10,SYS-Infraestructura,R1,,Baja,Bajo,Infraestructura,Desarrollo,S9-S12,Octubre,99.6,PMO — Capacidad
SYS-Infraestructura — Carga Noviembre 2026 (100.0%),"PANEL DE CAPACIDAD MENSUAL
Recurso: SYS-Infraestructura
Mes: Noviembre 2026
Horas planificadas: 178.5h de 178.5h disponibles (neto feriados Peru, 8.5h/dia)
Carga: 100.0% — Estado: OPTIMO
Meta del proyecto: 90%+ promedio en 6 meses

Esta tarea es un indicador para dashboard ClickUp. No requiere ejecucion tecnica: consolida la suma de horas de todas las tareas asignadas a SYS-Infraestructura en Noviembre.",Capacidad_Recursos,Backlog,Normal,2026-11-02,2026-11-30,"GESTION_PROYECTO,CAPACIDAD",178,CAP-SYS-M11,SYS-Infraestructura,R1,,Baja,Bajo,Infraestructura,Desarrollo,S12-S13,Noviembre,100.0,PMO — Capacidad
Organizar repositorios Git y reglas de trabajo del codigo,"OBJETIVO: Definir donde vive el codigo y como el equipo colabora sin pisarse.

PARA LA MINA: Base ordenada para entregas auditables (quien cambio que, cuando y por que).

ENTREGABLE: Repositorios Git, ramas main/develop/feature, proteccion de ramas, hooks de calidad.

VPS REQUERIDO: Ninguno — se hace en GitHub/GitLab desde julio 2026 (mes 2 del proyecto).

DEPENDE DE: Nada (inicio SYS en mes 2).

EXITO: Todo desarrollador clona el repo y sigue la misma estrategia de ramas.",DevOps_Infra,Backlog,High,2026-07-01,2026-07-31,INFRAESTRUCTURA,14,DEV-001,SYS-Infraestructura,R2,,Baja,Bajo,Infraestructura,Desarrollo,S3-S5,Transversal,92.1,Agile — DevOps
Empaquetar todos los servicios en contenedores Docker,"OBJETIVO: Que backend, frontend, bases de datos y servicios auxiliares corran igual en cualquier maquina.

PARA LA MINA: Misma plataforma en laptop del programador, servidor de desarrollo y produccion en Lima.

ENTREGABLE: Dockerfiles + docker-compose.yml completo (C++, React, PostgreSQL, Redis, MinIO, Kafka, Grafana, etc.).

VPS REQUERIDO: Ninguno al inicio — primero se valida en laptops; luego se despliega en VPS dev (DEV-003).

DEPENDE DE: DEV-001.

EXITO: `docker compose up` levanta la plataforma completa en local.",DevOps_Infra,Backlog,High,2026-07-31,2026-08-28,INFRAESTRUCTURA,29,DEV-002,"BACKEND 1 — DBA / Arq. Datos y Core, SYS-Infraestructura",R2,DEV-001,Alta,Medio,Infraestructura,Desarrollo,S5-S7,Transversal,100.0,Agile — DevOps
Contratar e instalar VPS de DESARROLLO compartido para el equipo,"OBJETIVO: Servidor remoto donde todos los programadores prueban integraciones con datos compartidos.

PARA LA MINA: Primer servidor real en datacenter; permite probar sensores, mapas e informes como en faena.

ENTREGABLE: VPS Linux con Docker, todos los servicios DEV-002, datos de prueba, acceso VPN/SSH por rol.

VPS REQUERIDO: SI — VPS DESARROLLO. Fecha clave: ~20 jul 2026 (semana 8). Tamano inicial: 8 vCPU / 32 GB RAM / 500 GB NVMe.

DEPENDE DE: DEV-002 (imagenes Docker listas).

EXITO: Backend y frontend se conectan al mismo ambiente; deja de depender de laptops aisladas.",DevOps_Infra,Backlog,High,2026-08-28,2026-09-24,INFRAESTRUCTURA,23,DEV-003,"BACKEND 1 — DBA / Arq. Datos y Core, SYS-Infraestructura",R2,DEV-002,Alta,Medio,Infraestructura,Desarrollo,S7-S9,Transversal,99.3,Agile — DevOps
Instalar VPS de PRUEBAS / CERTIFICACION (staging),"OBJETIVO: Replica controlada de produccion exclusiva para QA y aprobaciones.

PARA LA MINA: Ningun cambio llega a operadores sin pasar por este ambiente.

ENTREGABLE: VPS staging identico a prod (mismas versiones), flujo Dev -> Staging -> Prod documentado.

VPS REQUERIDO: SI — VPS STAGING (~agosto 2026, semana 10).

DEPENDE DE: DEV-003.

EXITO: QA certifica releases en staging antes del Go-Live.",DevOps_Infra,Backlog,High,2026-09-24,2026-10-22,"INFRAESTRUCTURA,PRUEBAS_CALIDAD",29,DEV-004,"SYS-Infraestructura, QA-Calidad (desde mes 2)",R3,DEV-003,Alta,Alto,Infraestructura,Desarrollo,S9-S11,Transversal,100.0,Agile — DevOps
Instalar VPS de PRODUCCION en datacenter Lima (usuarios reales),"OBJETIVO: Ambiente definitivo para la mina con alta disponibilidad y seguridad.

PARA LA MINA: Plataforma que usaran operadores, geotecnia y gerencia en faena.

ENTREGABLE: Dos VPS (principal + respaldo), DNS, SSL, firewall, VPN, monitoreo y backups automaticos.

VPS REQUERIDO: SI — VPS PRODUCCION (~octubre 2026, semana 17-18). Tier III Lima.

DEPENDE DE: DEV-004 (staging aprobado) + hitos P2-M5 (infra productiva).

EXITO: Marcha blanca y Go-Live nov 2026 sobre este ambiente.",DevOps_Infra,Backlog,Urgent,2026-10-22,2026-11-20,"INFRAESTRUCTURA,CRITICO",27,DEV-005,"BACKEND 1 — DBA / Arq. Datos y Core, SYS-Infraestructura, ARQ-Arquitecto TI / PMO",R5,DEV-004,Alta,Alto,Infraestructura,Desarrollo,S11-S13,Transversal,90.2,Agile — DevOps
Optimizar velocidad de carga de la plataforma web,"Hacer que la plataforma cargue rapidamente: dividir el codigo en partes que se cargan solo cuando se necesitan (el editor se carga al abrir un informe, el mapa solo al ver el dashboard), comprimir archivos, precargar pantallas principales. La plataforma debe mostrar contenido en menos de 1.5 segundos.",MES3_AGOSTO_UX_Sensores,Backlog,High,2026-07-27,2026-07-31,"EXPERIENCIA_USUARIO,DATOS",13,FE1-O01,FRONTEND 1 — Interfaces (mes 1 al 6),R3,,Alta,Medio,Frontend,Desarrollo,S5,Agosto,99.1,Agile — Desarrollo por Sprint
Convertir la plataforma en aplicacion instalable para uso en campo (modo sin conexion),Transformar la plataforma web para que funcione como una aplicacion que se puede instalar en tablets y computadoras. El usuario puede crear y consultar informes sin conexion a internet (en zonas de la mina sin senal). Los datos se guardan localmente y se sincronizan cuando vuelve la conexion.,MES3_AGOSTO_UX_Sensores,Backlog,High,2026-08-03,2026-08-31,"EXPERIENCIA_USUARIO,SIN_CONEXION",13,FE1-O02,FRONTEND 1 — Interfaces (mes 1 al 6),R3,,Alta,Alto,Frontend,Desarrollo,S5-S7,Agosto,98.3,Agile — Desarrollo por Sprint
Monitoreo de errores frontend (Sentry integration),"Integración de Sentry en React: captura automática de errores JS, source maps para debugging, contexto de usuario/ruta/dispositivo. Dashboard de errores. Alertas por nuevos errores en producción.",MES4_SEPTIEMBRE_Integracion_QA,Backlog,High,2026-08-24,2026-09-30,"EXPERIENCIA_USUARIO,INFRAESTRUCTURA",13,FE1-O03,FRONTEND 1 — Interfaces (mes 1 al 6),R4,,Media,Medio,Frontend,Desarrollo,S7-S9,Septiembre,98.3,Agile — Desarrollo por Sprint
Documentación de componentes React (Storybook),"Catálogo visual de todos los componentes React de la plataforma: botones, inputs, tablas, cards, modales, etc. Cada componente con variantes, estados y código de ejemplo. Referencia para todo el equipo frontend.",MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-08-24,2026-09-30,"DOCUMENTACION,EXPERIENCIA_USUARIO",28,FE1-O04,"FRONTEND 1 — Interfaces (mes 1 al 6), Soporte PMO — Analista Funcional y Documentador",R4,,Media,Bajo,Frontend,Desarrollo,S7-S9,Septiembre,98.3,Agile — Desarrollo por Sprint
Optimización de state management (Redux/Zustand),"Refactoring del manejo de estado: normalización de store, selectores memoizados, eliminación de re-renders innecesarios. Reducir renders del editor en >50%. Profiling con React DevTools.",MES4_SEPTIEMBRE_Integracion_QA,Backlog,High,2026-08-24,2026-09-30,"DATOS,EXPERIENCIA_USUARIO",13,FE1-O05,FRONTEND 1 — Interfaces (mes 1 al 6),R4,,Alta,Medio,Frontend,Desarrollo,S7-S9,Septiembre,98.3,Agile — Desarrollo por Sprint
Pantalla de historial de actividades y audit trail visual,"Vista de timeline de actividades del usuario y del sistema: quién editó qué informe, cuándo se aprobó, quién exportó. Filtros por usuario, tipo de acción, rango de fechas. Integración con audit log backend.",MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-08-24,2026-08-31,"EXPERIENCIA_USUARIO,SEGURIDAD,GERENCIA",13,FE1-O08,FRONTEND 1 — Interfaces (mes 1 al 6),R4,,Media,Bajo,Frontend,Desarrollo,S7,Septiembre,98.3,Agile — Desarrollo por Sprint
Internacionalización del frontend (i18n framework setup),"Setup del framework de internacionalización: react-intl o i18next, extracción de strings, estructura de archivos de traducción, pluralización, formatos de fecha/número. Base para la traducción de FE2.",MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-08-24,2026-09-30,"EXPERIENCIA_USUARIO,INTEGRACION",24,FE1-O09,"FRONTEND 1 — Interfaces (mes 1 al 6), FRONTEND 2 — UX y Soporte (desde mes 2)",R4,,Alta,Medio,Frontend,Desarrollo,S7-S9,Septiembre,98.3,Agile — Desarrollo por Sprint
Testing de compatibilidad cross-browser completo,"Pruebas exhaustivas en todos los navegadores target: Chrome 120+, Firefox 115+, Edge 120+, Safari 17+. Verificar editor, GIS, exportaciones, WebSocket. Fix de incompatibilidades detectadas.",MES5_OCTUBRE_Optimizacion,Backlog,High,2026-10-01,2026-11-16,"PRUEBAS_CALIDAD,EXPERIENCIA_USUARIO",24,FE1-O10,"FRONTEND 1 — Interfaces (mes 1 al 6), QA-Calidad (desde mes 2)",R5,,Alta,Medio,Frontend,Desarrollo,S9-S13,Octubre,100.0,Agile — Desarrollo por Sprint
Optimización de carga del editor para informes grandes (100+ páginas),"Performance tuning del editor TipTap para documentos largos: virtualización de nodos, debounce de operaciones, lazy rendering de páginas no visibles. Target: editor fluido con informes de 100+ páginas.",MES5_OCTUBRE_Optimizacion,Backlog,High,2026-11-02,2026-11-16,"EDITOR_INFORMES,DATOS",13,FE1-O11,FRONTEND 1 — Interfaces (mes 1 al 6),R5,,Alta,Alto,Frontend,Desarrollo,S12-S13,Octubre,97.8,Agile — Desarrollo por Sprint
Correcciones de UX basadas en feedback de marcha blanca,"Sprint dedicado a corregir problemas de usabilidad detectados durante la marcha blanca: ajustes de layout, mejoras en flujos confusos, correcciones de texto, mejoras de rendimiento perceptual.",MES6_NOVIEMBRE_GoLive,Backlog,Urgent,2026-11-02,2026-11-30,"EXPERIENCIA_USUARIO,PRODUCCION,SOPORTE",13,FE1-O12,FRONTEND 1 — Interfaces (mes 1 al 6),R6,,Media,Alto,Frontend,Desarrollo,S12-S13,Noviembre,97.8,Agile — Desarrollo por Sprint
Investigación UX inicial: entrevistas con usuarios de mina,"Sesiones de investigación con ingenieros de mina, supervisores y operadores para entender cómo trabajan hoy, qué problemas tienen con los sistemas actuales, qué necesitan para su trabajo diario. Documentación de user personas y journey maps.",MES1_JUNIO_Analisis_Arquitectura,Backlog,High,2026-06-01,2026-06-30,"EXPERIENCIA_USUARIO,SOPORTE,DOCUMENTACION",13,FE2-U01,FRONTEND 1 — Interfaces (mes 1 al 6),R1,,Media,Medio,Frontend,Desarrollo,S1-S3,Junio,90.0,Agile — Desarrollo por Sprint
Investigación UX continua: sesiones de usabilidad quincenal,"Sesiones de usabilidad con usuarios reales cada 2 semanas durante el desarrollo. Pruebas de prototipos, validación de flujos, detección de problemas de usabilidad. Reporte con hallazgos y recomendaciones priorizadas.",MES3_AGOSTO_UX_Sensores,Backlog,High,2026-07-27,2026-08-31,"EXPERIENCIA_USUARIO,SOPORTE",46,FE2-U02,"FRONTEND 2 — UX y Soporte (desde mes 2), FRONTEND 1 — Interfaces (mes 1 al 6), QA-Calidad (desde mes 2)",R2,FE2-U01,Media,Medio,Frontend,Desarrollo,S5-S7,Agosto,90.0,Agile — Desarrollo por Sprint
"Soporte multi-idioma de la plataforma (espanol, ingles, portugues)","Preparar la plataforma para funcionar en 3 idiomas: espanol, ingles y portugues. El usuario puede cambiar el idioma en cualquier momento y toda la interfaz se traduce: menus, botones, mensajes, formatos de fecha y numeros. Necesario para operaciones mineras en varios paises de Latinoamerica.",MES3_AGOSTO_UX_Sensores,Backlog,Normal,2026-07-27,2026-08-31,"EXPERIENCIA_USUARIO,INTEGRACION",28,FE2-U05,"FRONTEND 2 — UX y Soporte (desde mes 2), FRONTEND 1 — Interfaces (mes 1 al 6)",R3,,Alta,Medio,Frontend,Desarrollo,S5-S7,Agosto,90.0,Agile — Desarrollo por Sprint
Diseño de templates de email para notificaciones del sistema,"Diseño de plantillas HTML responsive para emails transaccionales: aprobación de informe, alerta de sensor, recordatorio de revisión, bienvenida. Branding corporativo minero, compatibilidad con Outlook/Gmail.",MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-09-01,2026-09-30,"EXPERIENCIA_USUARIO,NOTIFICACIONES",20,FE2-U06,FRONTEND 2 — UX y Soporte (desde mes 2),R4,,Media,Bajo,Frontend,Desarrollo,S7-S9,Septiembre,90.0,Agile — Desarrollo por Sprint
Guia interactiva de bienvenida para nuevos usuarios de la plataforma,"Cuando un usuario entra por primera vez a la plataforma, se muestra un tour guiado paso a paso: como configurar su perfil, como crear su primer informe, como usar el editor, como aprobar documentos. El objetivo es que el usuario pueda empezar a trabajar sin necesidad de capacitacion externa.",MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-08-24,2026-09-30,"EXPERIENCIA_USUARIO,SOPORTE",20,FE2-U08,FRONTEND 2 — UX y Soporte (desde mes 2),R4,,Media,Bajo,Frontend,Desarrollo,S7-S9,Septiembre,90.6,Agile — Desarrollo por Sprint
"Sistema de ayuda contextual (tooltips, guías, FAQ)","Implementación de ayuda contextual en cada módulo: tooltips en iconos/botones, guías paso a paso para flujos complejos (aprobación, exportación, firma), sección de FAQ. Reducir tickets de soporte.",MES4_SEPTIEMBRE_Integracion_QA,Backlog,Normal,2026-08-24,2026-08-31,"EXPERIENCIA_USUARIO,SOPORTE",27,FE2-U09,FRONTEND 2 — UX y Soporte (desde mes 2),R4,,Media,Bajo,Frontend,Desarrollo,S7,Septiembre,90.6,Agile — Desarrollo por Sprint
"Diseño del módulo de administración (usuarios, roles, config)","Pantallas administrativas para el administrador del sistema: gestión de usuarios, asignación de roles, configuración de tenant, logs de auditoría visual, configuración de notificaciones, parámetros del sistema.",MES4_SEPTIEMBRE_Integracion_QA,Backlog,High,2026-09-01,2026-09-30,"EXPERIENCIA_USUARIO,SEGURIDAD,GERENCIA",24,FE2-U10,"FRONTEND 2 — UX y Soporte (desde mes 2), FRONTEND 1 — Interfaces (mes 1 al 6)",R4,,Alta,Medio,Frontend,Desarrollo,S7-S9,Septiembre,90.0,Agile — Desarrollo por Sprint
"Módulo de administración: usuarios, roles, configuración","Implementación funcional del módulo admin: CRUD usuarios, asignación de roles RBAC, configuración por tenant, visualización de audit logs, parámetros del sistema. Solo accesible a rol Administrador.",MES4_SEPTIEMBRE_Integracion_QA,Backlog,High,2026-08-24,2026-09-30,"EXPERIENCIA_USUARIO,SEGURIDAD,GERENCIA",28,FE1-O07,"FRONTEND 1 — Interfaces (mes 1 al 6), Soporte PMO — Analista Funcional y Documentador",R4,FE2-U10,Alta,Medio,Frontend,Desarrollo,S7-S9,Septiembre,98.3,Agile — Desarrollo por Sprint
Auditoría de accesibilidad WCAG completa y correcciones,"Auditoría exhaustiva de accesibilidad en toda la plataforma: contraste, navegación por teclado, ARIA labels, formularios, tablas de datos. Corrección de todos los hallazgos nivel AA.",MES5_OCTUBRE_Optimizacion,Backlog,High,2026-10-01,2026-11-16,"EXPERIENCIA_USUARIO,SEGURIDAD,PRUEBAS_CALIDAD",35,FE2-U12,"FRONTEND 2 — UX y Soporte (desde mes 2), QA-Calidad (desde mes 2), FRONTEND 1 — Interfaces (mes 1 al 6)",R5,,Alta,Medio,Frontend,Desarrollo,S9-S13,Octubre,90.0,Agile — Desarrollo por Sprint
Pruebas de usabilidad en entorno minero real (in-situ),"Visita a la unidad minera para pruebas de usabilidad in-situ: usar la plataforma en condiciones reales (polvo, luz solar, guantes, ruido). Documentar problemas específicos del entorno y ajustar la UX.",MES5_OCTUBRE_Optimizacion,Backlog,High,2026-11-02,2026-11-16,"EXPERIENCIA_USUARIO,SOPORTE",30,FE2-U13,"FRONTEND 2 — UX y Soporte (desde mes 2), ARQ-Arquitecto TI / PMO",R5,,Media,Alto,Frontend,Desarrollo,S12-S13,Octubre,93.9,Agile — Desarrollo por Sprint
Material de capacitación para usuarios finales,"Creación de material de entrenamiento: video-tutoriales (5-10 min cada uno), guía rápida imprimible (2 páginas), manual de usuario completo, guía de troubleshooting. Para supervisores, ingenieros y gerentes.",MES6_NOVIEMBRE_GoLive,Backlog,High,2026-11-02,2026-11-30,"SOPORTE,DOCUMENTACION",45,FE2-U14,"FRONTEND 2 — UX y Soporte (desde mes 2), QA-Calidad (desde mes 2), Soporte PMO — Analista Funcional y Documentador",R6,,Media,Medio,Frontend,Desarrollo,S12-S13,Noviembre,93.9,Agile — Desarrollo por Sprint
Soporte a usuarios durante marcha blanca y GoLive,"Soporte dedicado on-site y remoto durante la marcha blanca: resolver dudas de usuarios, registrar issues, priorizar bugs de UX, ajustes rápidos de interfaz basados en feedback directo.",MES6_NOVIEMBRE_GoLive,Backlog,Urgent,2026-11-02,2026-11-30,"SOPORTE,PRODUCCION",32,FE2-U15,"FRONTEND 2 — UX y Soporte (desde mes 2), FRONTEND 1 — Interfaces (mes 1 al 6)",R6,,Media,Alto,Frontend,Desarrollo,S12-S13,Noviembre,93.9,Agile — Desarrollo por Sprint
Documentación de guías de usuario visuales (screenshots),"Manual de usuario visual con capturas de pantalla anotadas de cada flujo: cómo crear un informe, cómo aprobar, cómo exportar, cómo usar el mapa, cómo configurar alertas. Formato PDF y ayuda online.",MES6_NOVIEMBRE_GoLive,Backlog,High,2026-11-02,2026-11-03,"DOCUMENTACION,SOPORTE",36,FE2-U16,"FRONTEND 2 — UX y Soporte (desde mes 2), Soporte PMO — Analista Funcional y Documentador, FRONTEND 1 — Interfaces (mes 1 al 6)",R6,,Media,Bajo,Frontend,Desarrollo,S12,Noviembre,93.9,Agile — Desarrollo por Sprint
Encuestas NPS y optimización UX post-lanzamiento,"Encuestas de satisfacción a usuarios clave tras GoLive (NPS, SUS), análisis de fricciones reportadas en marcha blanca, ajustes UX de prioridad alta en pantallas críticas y reporte de mejoras para backlog post-proyecto.",MES6_NOVIEMBRE_GoLive,Backlog,High,2026-11-30,2026-11-30,"EXPERIENCIA_USUARIO,SOPORTE,PRODUCCION",27,FE2-U17,FRONTEND 2 — UX y Soporte (desde mes 2),R6,FE2-U15,Media,Medio,Frontend,Desarrollo,S13,Noviembre,93.9,Agile — Desarrollo por Sprint
Gobierno arquitectonico y alineamiento tecnico transversal — Julio,"Actividad transversal planificada para mantener carga mensual >= 90% en Julio 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",MES2_JULIO_Core_Seguridad,Backlog,Normal,2026-07-01,2026-07-31,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",36,FLOOR-ARQ-M07-01,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S3-S5,Julio,94.3,Agile — Desarrollo por Sprint
Gobierno arquitectonico y alineamiento tecnico transversal — Julio,"Actividad transversal planificada para mantener carga mensual >= 90% en Julio 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",MES2_JULIO_Core_Seguridad,Backlog,Normal,2026-07-01,2026-07-31,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",26,FLOOR-ARQ-M07-02,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S3-S5,Julio,94.3,Agile — Desarrollo por Sprint
Gobierno arquitectonico y alineamiento tecnico transversal — Julio,"Actividad transversal planificada para mantener carga mensual >= 90% en Julio 2026 (ARQ-Arquitecto TI / PMO). Incluye revisiones, soporte cruzado, documentacion y cierre de pendientes del mes.",MES2_JULIO_Core_Seguridad,Backlog,Normal,2026-07-01,2026-07-31,"GESTION_PROYECTO,SOPORTE,CAPACIDAD",11,FLOOR-ARQ-M07-03,ARQ-Arquitecto TI / PMO,R1,,Baja,Bajo,Arquitectura,Desarrollo,S3-S5,Julio,94.3,Agile — Desarrollo por Sprint
